approval_rate,accepted,bad_rate,expected_profit,score_cutoff_probability
0.010002676301351533,299,0.006688963210702341,128050.0,0.00398406374501992
0.020005352602703065,598,0.005016722408026756,259350.0,0.004395604395604396
0.030008028904054598,897,0.005574136008918618,387400.0,0.004395604395604396
0.04001070520540613,1196,0.006688963210702341,512200.0,0.004395604395604396
0.05001338150675766,1495,0.008026755852842809,633750.0,0.004618937644341801
0.060016057808109195,1794,0.006688963210702341,768300.0,0.007150423728813559
0.06998528034256657,2092,0.0057361376673040155,902400.0,0.007150423728813559
0.0799879566439181,2391,0.005018820577164366,1036950.0,0.007150423728813559
0.08999063294526964,2690,0.007063197026022305,1148750.0,0.007150423728813559
0.09999330924662117,2989,0.007360321177651389,1273550.0,0.007150423728813559
0.1099959855479727,3288,0.006690997566909975,1408100.0,0.007150423728813559
0.11999866184932423,3587,0.006133258990800111,1542650.0,0.007150423728813559
0.13000133815067577,3886,0.005661348430262481,1677200.0,0.007150423728813559
0.1400040144520273,4185,0.0052568697729988055,1811750.0,0.007150423728813559
0.15000669075337883,4484,0.004906333630686887,1946300.0,0.007150423728813559
0.16000936705473037,4783,0.004599623667154506,2080850.0,0.007150423728813559
0.1700120433560819,5082,0.005706414797323888,2192650.0,0.007150423728813559
0.18001471965743343,5381,0.006876045344731463,2301200.0,0.009490940465918895
0.1899839421918908,5679,0.006691318894171509,2432050.0,0.009490940465918895
0.19998661849324234,5978,0.006523921043827367,2563350.0,0.009490940465918895
0.20998929479459388,6277,0.007646965110721682,2668650.0,0.009490940465918895
0.2199919710959454,6576,0.0076034063260340635,2796700.0,0.0102880658436214
0.22999464739729694,6875,0.007272727272727273,2931250.0,0.0102880658436214
0.23999732369864846,7174,0.0071090047393364926,3062550.0,0.0102880658436214
0.25,7473,0.0070921985815602835,3190600.0,0.0102880658436214
0.26000267630135154,7772,0.0073340195573854865,3312150.0,0.0102880658436214
0.2700053526027031,8071,0.00718622227728906,3443450.0,0.0102880658436214
0.2800080289040546,8370,0.00848267622461171,3535750.0,0.0102880658436214
0.2900107052054061,8669,0.008536163340639058,3660550.0,0.0102880658436214
0.30001338150675766,8968,0.00825156110615522,3795100.0,0.01171875
0.3100160578081092,9267,0.00895651235567066,3900400.0,0.01171875
0.31998528034256657,9565,0.00909566126502875,4021500.0,0.01171875
0.3299879566439181,9864,0.008921330089213302,4152800.0,0.01171875
0.33999063294526966,10163,0.009052445144150349,4274350.0,0.01171875
0.34999330924662114,10462,0.0087937296883961,4408900.0,0.01171875
0.3599959855479727,10761,0.008549391320509246,4543450.0,0.01171875
0.36999866184932423,11060,0.008860759493670886,4658500.0,0.01171875
0.38000133815067577,11359,0.008803591865481117,4786550.0,0.02220029600394672
0.3900040144520273,11658,0.008663578658431977,4917850.0,0.02220029600394672
0.40000669075337886,11957,0.008781466923141256,5039400.0,0.02220029600394672
0.41000936705473034,12256,0.008567232375979112,5173950.0,0.02220029600394672
0.4200120433560819,12555,0.008442851453604142,5305250.0,0.02220029600394672
0.43001471965743343,12854,0.008246460245837871,5439800.0,0.02220029600394672
0.4399839421918908,13152,0.008059610705596108,5573900.0,0.02220029600394672
0.44998661849324234,13451,0.008623894134265111,5675950.0,0.02220029600394672
0.4599892947945939,13750,0.008654545454545455,5800750.0,0.02220029600394672
0.4699919710959454,14049,0.009395686525731368,5893050.0,0.02220029600394672
0.4799946473972969,14348,0.009199888486200167,6027600.0,0.02220029600394672
0.48999732369864846,14647,0.009626544684918413,6132900.0,0.02220029600394672
0.5,14946,0.010103037602033989,6234950.0,0.02220029600394672
0.5100026763013515,15245,0.010495244342407346,6340250.0,0.03129395218002813
0.5200053526027031,15544,0.010550694801852806,6461800.0,0.03129395218002813
0.5300080289040546,15843,0.010351574827999747,6596350.0,0.03129395218002813
0.5400107052054062,16142,0.010717383223887994,6701650.0,0.03129395218002813
0.5500133815067577,16441,0.011069886259959857,6806950.0,0.03129395218002813
0.5600160578081091,16740,0.012246117084826763,6866750.0,0.03129395218002813
0.5699852803425666,17038,0.012208005634464138,6991100.0,0.03129395218002813
0.5799879566439181,17337,0.012516583030512776,7096400.0,0.03129395218002813
0.5899906329452697,17636,0.012587888410070311,7214700.0,0.03129395218002813
0.5999933092466212,17935,0.012991357680512964,7313500.0,0.03129395218002813
0.6099959855479727,18234,0.013217067017659317,7422050.0,0.03867640739149119
0.6199986618493243,18533,0.013219662224140722,7543600.0,0.03867640739149119
0.6300013381506757,18832,0.014018691588785047,7616400.0,0.03867640739149119
0.6400040144520273,19131,0.01453138884532957,7705450.0,0.03867640739149119
0.6500066907533788,19430,0.014668039114770973,7817250.0,0.03867640739149119
0.6600093670547303,19729,0.015104668254853262,7909550.0,0.03867640739149119
0.6700120433560819,20028,0.015678050728979428,7992100.0,0.03867640739149119
0.6800147196574334,20327,0.015840999655630444,8100650.0,0.03867640739149119
0.6899839421918909,20625,0.016242424242424242,8192500.0,0.052873563218390804
0.6999866184932423,20924,0.016488243165742687,8294550.0,0.06323529411764706
0.7099892947945938,21223,0.017952221646327097,8312100.0,0.06323529411764706
0.7199919710959454,21522,0.018446241055663972,8394650.0,0.06791171477079797
0.7299946473972969,21821,0.019064204206956602,8467450.0,0.06791171477079797
0.7399973236986485,22120,0.019936708860759492,8520750.0,0.06791171477079797
0.75,22419,0.02114278067710424,8548050.0,0.06791171477079797
0.7600026763013515,22718,0.021568800070428735,8630600.0,0.08064516129032258
0.7700053526027031,23017,0.023026458704435853,8635150.0,0.08064516129032258
0.7800080289040546,23316,0.023546062789500773,8707950.0,0.08064516129032258
0.7900107052054062,23615,0.023713741266144398,8806750.0,0.08064516129032258
0.8000133815067577,23914,0.0240026762565861,8895800.0,0.08064516129032258
0.8100160578081091,24213,0.024656176434146946,8955600.0,0.08064516129032258
0.8199852803425666,24511,0.026314715841866915,8933700.0,0.08064516129032258
0.8299879566439181,24810,0.027287384119306732,8964250.0,0.08064516129032258
0.8399906329452697,25109,0.028037755386514797,9011050.0,0.0967741935483871
0.8499933092466212,25408,0.029242758186397984,9018850.0,0.1134020618556701
0.8599959855479727,25707,0.030030730929318863,9059150.0,0.1134020618556701
0.8699986618493243,26006,0.03133892178727986,9053950.0,0.1134020618556701
0.8800013381506757,26305,0.033301653678007984,8990250.0,0.14313346228239845
0.8900040144520273,26604,0.03431814764697038,9004550.0,0.17355371900826447
0.9000066907533788,26903,0.03579526446864662,8976600.0,0.19036697247706422
0.9100093670547303,27202,0.03808543489449305,8873900.0,0.20496894409937888
0.9200120433560819,27501,0.03967128468055707,8829700.0,0.21485411140583555
0.9300147196574334,27800,0.041942446043165466,8720500.0,0.26334519572953735
0.9399839421918909,28098,0.04434479322371699,8594600.0,0.30260047281323876
0.9499866184932423,28397,0.04785716801070536,8361900.0,0.30260047281323876
0.9599892947945938,28696,0.05154028436018957,8106450.0,0.3816568047337278
0.9699919710959454,28995,0.055250905328504914,7841250.0,0.4375
0.9799946473972969,29294,0.05895405202430532,7569550.0,0.4530612244897959
0.9899973236986485,29593,0.06349474537897476,7210100.0,0.5740740740740741
1.0,29892,0.06851331459922387,6795400.0,0.6599999999999998
